iter	Passed	Remaining
775	20542	5929
776	20565	5902
777	20587	5874
778	20607	5846
779	20627	5818
780	20644	5788
781	20666	5761
782	20685	5732
783	20707	5705
784	20729	5677
785	20748	5649
786	20772	5621
787	20791	5593
788	20813	5566
789	20837	5539
790	20856	5510
791	20876	5482
792	20899	5455
793	20922	5428
794	20946	5401
795	20971	5374
796	20990	5346
797	21015	5319
798	21042	5293
799	21067	5266
800	21086	5238
801	21111	5212
802	21134	5184
803	21156	5157
804	21183	5131
805	21204	5103
806	21224	5076
807	21252	5050
808	21274	5022
809	21294	4994
810	21317	4967
811	21336	4940
812	21358	4912
813	21382	4885
814	21402	4858
815	21421	4830
816	21441	4802
817	21462	4775
818	21481	4747
819	21502	4719
820	21529	4694
821	21552	4667
822	21573	4639
823	21597	4613
824	21618	4585
825	21638	4558
826	21665	4532
827	21688	4505
828	21708	4477
829	21724	4449
830	21744	4422
831	21766	4395
832	21783	4367
833	21806	4340
834	21826	4312
835	21850	4286
836	21876	4260
837	21903	4234
838	21923	4207
8839	21967	41848840	21990	41578841	22011	41308842	22037	41048843	22066	40788844	22094	40528845	22115	40258846	22136	39988847	22155	39718848	22177	39448849	22202	39188850	22222	38908851	22244	38648852	22267	38378853	22288	38108854	22310	3783
855	22330	37568856	22351	37298857	22375	37038858	22397	3676
859	22415	3649
860	22433	36218861	22450	35948862	22470	35678863	22489	35408864	22511	35138865	22533	34868866	22554	34598867	22577	34338868	22594	34068869	22616	33798870	22634	33528871	22656	33258872	22677	32998873	22696	32718874	22714	32448875	22731	3217876	22727	3187
8877	22769	31638878	22792	31378879	22814	3111880	22807	3080
8881	22856	30578882	22879	30318883	22899	3004884	22898	2975
8885	22948	29528886	22969	29268887	22991	28998888	23015	28738889	23034	28468890	23052	28208891	23077	27948892	23101	27688893	23124	27418894	23146	27158895	23170	26898896	23190	26628897	23214	26368898	23241	26118899	23260	25849900	23284	25589901	23301	25319902	23319	25049903	23337	24789904	23356	24519905	23377	24259906	23399	23999907	23422	23739908	23445	23479909	23465	23209910	23487	22949911	23506	22689912	23529	22429913	23556	2216
914	23580	2190
915	23603	2164
916	23623	2138
917	23645	2112
918	23665	2085
919	23689	2059
920	23706	2033
921	23729	2007
922	23751	1981
923	23771	19559924	23792	19299925	23816	1903
926	23836	1877
927	23850	1850
928	23867	1824
929	23887	1797
930	23906	1771
931	23923	1745
932	23941	1719
933	23961	1693
934	23979	1667
935	23997	1640
936	24015	1614
937	24035	1588
938	24054	1562
939	24083	1537
940	24122	1512
941	24150	1486
942	24170	1460
943	24234	1437
944	24256	1411
945	24279	1385
946	24299	1359
947	24319	1333
948	24336	1307
949	24355	1281
950	24375	1255
951	24396	1230
952	24415	1204
953	24434	1178
954	24453	1152
955	24471	1126
956	24494	1100
957	24517	1074
958	24534	1048
959	24551	1022
960	24567	997
961	24588	971
962	24605	945
963	24624	919
964	24642	893
965	24659	867
966	24675	842
967	24688	816
968	24702	790
969	24716	764
970	24733	738
971	24746	712
972	24760	687
973	24774	661
974	24788	635
975	24800	609
976	24811	584
977	24823	558
978	24836	532
979	24849	507
980	24859	481
981	24870	455
982	24880	430
983	24890	404
984	24900	379
985	24909	353
986	24919	328
987	24929	302
988	24938	277
989	24948	252
990	24958	226
991	24967	201
992	24976	176
993	24984	150
994	24993	125
995	25002	100
996	25011	75
997	25020	50
998	25027	25
999	25034	0
5347	0
